statement,label
The sparrow uses flying for locomotion.,1
The salmon has a habitat of freshwater/marine.,1
The walrus has a diet of insectivore.,0
The aardvark has a habitat of urban/wild.,0
"The cat is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0
There are no specific human uses for camel.,0
"The seagull has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment.",0
The ostrich has a diet of omnivore.,0
The whale uses walking for locomotion.,0
The penguin uses walking/swimming for locomotion.,1
The penguin has a diet of herbivore.,0
The parrot has the atomic number of mammal.,0
The goat has strong jaws and teeth for crushing bones and a complex social structure with a female-dominated hierarchy.,0
The deer has the atomic number of bird.,0
The mongoose uses swimming for locomotion.,0
The hedgehog has a diet of herbivore.,0
The bison has a diet of carnivore.,0
The lion has a habitat of domestic/urban.,0
The cow has the atomic number of bird.,0
There are no specific human uses for porcupine.,1
"The lobster has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",0
The seagull has a habitat of coastal.,1
"The deer has antlers that are shed and regrown annually, and is a good swimmer.",1
The aardvark has a habitat of savanna.,1
The whale has a diet of carnivore/herbivore.,1
The camel has a habitat of domestic/urban.,0
"Human uses for hamster include tourism, zoos.",0
The salmon has the atomic number of reptile.,0
The cassowary has a habitat of forest.,1
The jellyfish has a habitat of marine.,1
There are no specific human uses for hyena.,1
The sea turtle uses walking for locomotion.,0
"The manta ray has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",1
The tuna has a habitat of urban/wild.,0
The chimpanzee has the atomic number of fish.,0
"The sparrow has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",0
The skunk is a mammal.,1
The axolotl has the atomic number of reptile.,0
The platypus has a habitat of various.,0
The camel uses flying for locomotion.,0
"Human uses for chicken include meat, eggs.",1
The cat isn't very social but is adored by many humans and has retractable claws for climbing and hunting.,1
The snake has a diet of herbivore.,0
The raccoon uses flying for locomotion.,0
"Human uses for leopard include pets, pest control.",0
The moose uses walking/swimming for locomotion.,0
The dolphin is highly intelligent and known for its playful and social behavior.,1
"The rhinoceros has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",0
"The camel is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0
The porcupine uses flying for locomotion.,0
The frog is a amphibian.,1
The goldfish can recognize human faces and has a memory span of around three months.,1
"Human uses for walrus include pets, research.",0
The porcupine has a diet of carnivore.,0
The camel is a mammal.,1
"The bee is a social insect that lives in colonies with a queen, workers, and drones.",1
The platypus can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,0
The tuna has a diet of carnivore.,1
The tortoise has a diet of  carnivore.,0
The goldfish has the atomic number of mammal.,0
The tuna is a fast swimmer and can maintain high speeds for extended periods of time.,1
"Human uses for skunk include research, conservation.",0
The chicken has a habitat of various.,0
"Human uses for salmon include conservation, research, zoos.",0
The polar bear primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,0
The hummingbird is the smallest bird species and can hover in mid-air by rapidly flapping its wings.,1
The penguin has the atomic number of mammal.,0
"Human uses for armadillo include tourism, research.",0
The jellyfish has a diet of carnivore.,1
The goldfish has a habitat of freshwater.,1
The giant anteater has a diet of insectivore.,1
"Human uses for elephant include work, tourism, conservation.",1
The hippopotamus has a diet of herbivore.,1
The polar bear has a habitat of various.,0
The goat uses flying for locomotion.,0
The dog has a habitat of freshwater.,0
The octopus has a diet of insectivore.,0
The deer has a habitat of forest/urban.,0
"The parrot is known for its bright colors, intelligence, and ability to mimic human speech.",1
The armadillo has the atomic number of reptile.,0
The iguana uses climbing for locomotion.,1
There are no specific human uses for sparrow.,1
There are no specific human uses for frog.,1
"Human uses for flamingo include tourism, research, zoos.",1
"The rat feeds primarily on carrion, and has a bald head to prevent bacteria build-up while feeding.",0
The raccoon has a habitat of forest/urban.,1
The koala is a mammal.,1
The wolverine uses walking for locomotion.,1
The salmon has a diet of herbivore.,0
The porcupine is the largest primate and exhibits complex social behavior.,0
There are no specific human uses for hippopotamus.,1
The sea turtle has a habitat of marine.,1
The snake has a habitat of terrestrial.,1
"Human uses for iguana include pets, research.",1
The lion has the atomic number of bird.,0
The salmon uses swimming for locomotion.,1
The raccoon has a diet of carnivore.,0
The bat is a mammal.,1
The gecko has a habitat of various.,1
The horse has a habitat of farmland/domestic.,1
The dolphin has a habitat of urban/old-world habitats.,0
The llama has thick wool for insulation and can spit when threatened or annoyed.,1
The axolotl has a habitat of freshwater.,1
The peacock uses walking for locomotion.,1
The tortoise has a diet of herbivore.,1
The sea turtle has a diet of varies.,1
The giant anteater has a habitat of savanna.,0
The cow uses walking for locomotion.,1
"Human uses for bison include conservation, meat, leather.",1
The rhinoceros has a diet of herbivore.,1
"The sea turtle has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",0
"Human uses for zebra include conservation, research.",0
There are no specific human uses for mongoose.,1
The frog has a habitat of freshwater.,1
The eagle has the atomic number of mammal.,0
The iguana has a habitat of various.,1
The bat has a diet of insectivore.,0
The pigeon has a diet of herbivore.,1
The walrus has a habitat of forest/urban.,0
"Human uses for swan include pets, research, conservation.",0
The kangaroo uses hopping for locomotion.,1
There are no specific human uses for dog.,0
"Human uses for platypus include conservation, research, zoos.",0
"Human uses for rabbit include pets, meat, fur.",1
The beaver is a mammal.,1
The llama has a habitat of mountain bamboo forest.,0
"Human uses for polar bear include conservation, research.",1
The cat has a diet of omnivore.,0
"Human uses for whale include tourism, research, conservation.",1
The gecko is a reptile.,1
The dolphin has the atomic number of crustacean.,0
"The hippopotamus is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0
The goldfish has a diet of carnivore.,0
The cheetah uses walking for locomotion.,0
"The leopard has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",1
There are no specific human uses for cow.,0
The sparrow has a habitat of urban/wild.,1
The octopus has a habitat of various.,0
"The axolotl primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0
The mongoose is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure.,0
The seahorse uses walking for locomotion.,0
The elephant is a mammal.,1
The crocodile has the atomic number of mammal.,0
The tiger uses swimming for locomotion.,0
The gecko has a diet of insectivore.,1
"The armadillo has a hard, bony armor for protection and can curl into a ball to defend itself.",1
The alpaca uses swimming for locomotion.,0
The pigeon has thick white fur for insulation and black skin to absorb heat.,0
The bison has a habitat of various.,0
"The otter has a thick, water-resistant fur and uses tools to crack open shellfish.",1
The lobster has a diet of omnivore.,1
"The skunk has a pouch for carrying and nursing its young, called joeys.",0
The platypus has a habitat of freshwater.,1
The goat has a habitat of various.,0
The peacock has the atomic number of mammal.,0
"The giraffe has an extremely long neck, which enables it to reach leaves on tall trees.",1
"Human uses for kangaroo include research, conservation.",0
The otter has the atomic number of fish.,0
There are no specific human uses for horse.,0
The cheetah has the atomic number of insect.,0
"Human uses for eagle include research, conservation.",0
The jellyfish has a diet of herbivore.,0
The giraffe uses walking for locomotion.,1
The hyena has the atomic number of bird.,0
"The rhinoceros has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",1
The lion has a habitat of grassland.,1
"The cassowary is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",1
The tarantula has the atomic number of insect.,0
"Human uses for axolotl include conservation, research, zoos.",0
There are no specific human uses for tiger.,0
The squirrel is a mammal.,1
The pigeon uses flying for locomotion.,1
The wolverine has a diet of herbivore.,0
The armadillo has a habitat of mountain bamboo forest.,0
The rat has a habitat of freshwater.,0
There are no specific human uses for skunk.,1
The chimpanzee is a mammal.,1
The seagull uses swimming for locomotion.,0
The rat is a mammal.,1
The hedgehog is a mammal.,1
The otter has a habitat of forest.,0
"The tiger is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0
The dolphin uses swimming for locomotion.,1
"The panda primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",1
The cat is a mammal.,1
The parrot has a habitat of coastal.,0
The tarantula has a habitat of urban/old-world habitats.,0
The bison uses walking/swimming for locomotion.,0
The hyena is a mammal.,1
"The lion has antlers that are shed and regrown annually, and is a good swimmer.",0
"The penguin has a hard, bony armor for protection and can curl into a ball to defend itself.",0
The otter has long ears for detecting predators and strong hind legs for escaping.,0
The slug lacks a shell and secretes a slimy mucus for protection and locomotion.,1
The hummingbird has a diet of nectar.,1
"Human uses for swan include tourism, ornamental displays.",1
"Human uses for cassowary include pets, research, conservation.",0
"Human uses for tiger include conservation, research, zoos.",1
"Human uses for rhinoceros include work, tourism, conservation.",0
The panda has a habitat of mountain bamboo forest.,1
The porcupine has a habitat of marine.,0
The whale has a habitat of various.,0
The mongoose has a diet of herbivore.,0
The gecko has a habitat of forest.,0
"Human uses for moose include research, conservation.",0
"The alpaca has thick, luxurious wool and is a smaller relative of the llama.",1
The gecko has the atomic number of crustacean.,0
The ostrich is a bird.,1
The horse has strong hind legs for powerful jumps and kicks.,1
The rhinoceros has a habitat of marine.,0
The deer has a diet of herbivore.,1
The axolotl has a diet of herbivore.,0
"Human uses for chimpanzee include tourism, zoos, meat.",0
The iguana has a habitat of coastal.,0
The bat has a habitat of various.,1
The snake is a reptile.,1
"The iguana has a long, whip-like tail for defense and can change color to regulate body temperature.",1
The shark has the atomic number of mammal.,0
The crocodile has a diet of  carnivore.,1
"The cassowary has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",0
"The hippopotamus spends most of its day in water and has a barrel-shaped body with large, sharp teeth for defense.",1
The iguana has a diet of carnivore.,0
The frog uses walking for locomotion.,0
"The horse has a hard, bony armor for protection and can curl into a ball to defend itself.",0
"The swan has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",1
The iguana is a reptile.,1
The hummingbird uses swimming for locomotion.,0
The giant anteater has a habitat of grassland/forest.,1
The beaver uses walking for locomotion.,0
The hyena has a diet of carnivore.,1
The beaver has the atomic number of bird.,0
"The hyena has distinctive black and white stripes, which may help deter flies and provide camouflage.",0
The swan has the atomic number of reptile.,0
The panda is a mammal.,1
"Human uses for iguana include conservation, research, zoos.",0
The vulture has a diet of carnivore.,1
The rat has a diet of herbivore.,0
The otter has a diet of carnivore.,1
The bee is a insect.,1
The manta ray has a habitat of marine.,1
Human uses for tuna include food.,1
The leopard has a habitat of marine.,0
The peacock has a habitat of forest/grassland.,1
The llama is a mammal.,1
The lobster has a habitat of various.,0
The elephant has a habitat of grassland.,0
The flamingo has the atomic number of mammal.,0
The tuna is a fish.,1
The polar bear has a diet of carnivore.,1
"The walrus has long tusks for fighting and digging, and thick blubber for insulation in cold water.",1
"Human uses for llama include pets, research, pest control.",0
"Human uses for chimpanzee include research, conservation, entertainment.",1
Human uses for jellyfish include pest control.,0
There are no specific human uses for rabbit.,0
The giant anteater uses swimming for locomotion.,0
The wolverine is a mammal.,1
The goldfish has a diet of omnivore.,1
"Human uses for frog include conservation, research, zoos.",0
The goldfish is a fish.,1
The alpaca has a diet of omnivore.,0
"The gazelle has slender legs for fast running and can perform high leaps, known as pronking.",1
"The sea turtle has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs.",1
"Human uses for narwhal include research, conservation.",1
The cassowary has a habitat of marine.,0
"Human uses for peacock include pets, ornamental displays.",1
The zebra has the atomic number of fish.,0
The shark has a habitat of marine.,1
"Human uses for alpaca include pets, meat, fur.",0
"Human uses for ostrich include tourism, zoos, meat, feathers.",1
The hedgehog has a habitat of various.,1
The camel uses walking for locomotion.,1
"Human uses for tapir include conservation, research, zoos.",1
There are no specific human uses for whale.,0
The slug has a diet of herbivore.,1
The tiger uses walking for locomotion.,1
The ostrich is nocturnal and has large cheek pouches to store and transport food.,0
"Human uses for gecko include conservation, research, zoos.",0
The tiger has a diet of carnivore.,1
"The lobster has a hard exoskeleton, which it must molt to grow, and can live for over 50 years.",1
The pigeon has a strong homing instinct and has been used for communication and racing.,1
The squirrel can jump long distances and has a bushy tail for balance.,1
The eagle is a powerful bird of prey with keen eyesight and strong talons for catching prey.,1
The giraffe has a diet of carnivore.,0
The polar bear has the atomic number of fish.,0
The gorilla has a diet of herbivore.,1
"The flamingo has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",1
The elephant uses flying for locomotion.,0
"The bee has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",0
The octopus uses hopping for locomotion.,0
The moose has a diet of herbivore.,1
"Human uses for hamster include pets, research.",1
"The moose has thick, luxurious wool and is a smaller relative of the llama.",0
There are no specific human uses for dolphin.,0
"Human uses for hedgehog include pets, pest control.",1
There are no specific human uses for ostrich.,0
"The peacock has an extremely long neck, which enables it to reach leaves on tall trees.",0
The axolotl uses swimming/flying for locomotion.,0
The whale has the atomic number of fish.,0
The giraffe has a habitat of savanna.,1
The seagull has the atomic number of mammal.,0
The snake uses slithering for locomotion.,1
The jellyfish has a habitat of coastal.,0
The koala uses walking for locomotion.,1
There are no specific human uses for armadillo.,1
The rabbit has a diet of herbivore.,1
"The walrus has a hard exoskeleton, which it must molt to grow, and can live for over 50 years.",0
The hamster has a habitat of coastal.,0
The swan has a diet of omnivore.,0
"The seahorse has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",1
The gecko uses walking for locomotion.,0
The cassowary uses walking/swimming for locomotion.,0
The mongoose uses walking for locomotion.,1
The rat uses climbing for locomotion.,0
The shark has multiple rows of teeth that are continuously replaced throughout its life.,1
The chimpanzee shares over 98% of its dna with humans and can use tools and learn sign language.,1
"Human uses for penguin include tourism, zoos, meat.",0
The panda has a powerful bite and can go without food for long periods of time.,0
The penguin has a habitat of mountain.,0
The eagle uses flying for locomotion.,1
The rabbit has a habitat of grassland.,1
The dolphin has a diet of omnivore.,0
The bison is a mammal.,1
"The jellyfish has a gelatinous bell and stinging tentacles to capture prey, and some species are bioluminescent.",1
The koala has a diet of herbivore.,1
"The hummingbird has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",0
The bison has a diet of herbivore.,1
The narwhal uses jumping for locomotion.,0
