statement,label
Wilhelm Conrad Röntgen invented the discovery of Pluto.,0
Nils Bohlin lived in Germany.,0
Albert Ghiorso lived in U.S.,1
George Antheil invented the piano roll (used in player pianos).,1
Emile Berliner invented the gramophone.,1
Jack Kilby invented the aerodynamics (theoretical).,0
Gordon Gould invented the laser.,1
Ernest Swinton invented the tank.,1
Ruth Benerito invented the wrinkle-resistant fabric.,1
Kwolek invented the U.S.,1
Sergey Brin and Larry Page invented the DNA fingerprinting.,0
Clyde Tombaugh invented the discovery of Pluto.,1
Cai Lun invented the piano.,0
George de Mestral lived in Switzerland.,1
Carlos Glidden lived in U.S.,1
Leonardo da Vinci invented the various inventions and concepts (theoretical).,1
Luther George Simjian invented the modern polar exploration.,0
William Congreve lived in U.K.,1
John Logie Baird lived in Japan.,0
Samuel Fox invented the steel ribbed umbrella.,1
Edouard Benedictus lived in U.S.,0
Mary Anderson invented the windshield wiper.,1
Philo Farnsworth invented the electronic television.,1
Alec Jeffreys lived in France.,0
Arthur Pitney lived in U.S.,1
Giovanni Caselli lived in U.S.,0
Carl Wilhelm Siemens invented the Siemens regenerative furnace.,1
Willis Carrier invented the air conditioning.,1
John Gorrie lived in U.S.,1
Alessandro Volta invented the electric battery.,1
Robert Chesebrough lived in U.S.,1
Carl Elsener invented the Swiss Army knife.,1
Daisuke Inoue invented the first home video game console.,0
Whitcomb Judson invented the slide fastener (zipper precursor).,1
Arthur Fry invented the Phonautograph.,0
Fritz Pfleumer invented the amplitude modulation (AM) radio.,0
Johannes Gutenberg lived in U.K.,0
André-Jacques Garnerin invented the electrocardiograph (ECG).,0
Mary Walton invented the canning process.,0
Michael Faraday invented the friction match.,0
Luther George Simjian invented the Automated Teller Machine (ATM).,1
Maria Telkes lived in Hungary.,0
Spencer Silver invented the adhesive (used in Post-it notes).,1
Yoshiro Nakamatsu lived in U.S.,0
Joseph Marie Jacquard invented the Jacquard loom.,1
Chester Carlson lived in U.S.,1
Rudolf Kálmán invented the penicillin discovery.,0
Joseph Swan invented the alternating current (AC) electrical system.,0
Charles Tellier invented the penicillin discovery.,0
George Pullman lived in U.S.,1
George Cayley lived in U.K.,1
Felix Hoffmann invented the agricultural innovations.,0
Thomas Tompion invented the electric generator.,0
John Bardeen lived in U.S.,1
Orville and Wilbur Wright lived in France.,0
Archimedes lived in U.S.,0
Nils Bohlin invented the jet engine.,0
Johannes Gutenberg lived in Germany.,1
Philipp Reis invented the Linux operating system.,0
Hedy Lamarr invented the Morse code.,0
Candace Pert invented the discovery of opiate receptor.,1
George Eastman lived in U.S.,1
Nikolay Slavyanov invented the shielded metal arc welding.,1
George Cayley invented the aerodynamics (theoretical).,1
Hans Lippershey lived in Netherlands.,1
Frederick McKinley Jones invented the refrigeration unit for trucks.,1
Herbert Saffir invented the electric generator.,0
Carl Elsener lived in U.S.,0
Paul Gottlieb Nipkow invented the Nipkow disk (mechanical television).,1
John Boyd Dunlop lived in France.,0
Heinrich Hertz lived in Germany.,1
Ferdinand Carré invented the refrigeration (absorption process).,1
Leonardo da Vinci lived in Italy.,1
Nikolai Basov lived in Soviet Union.,1
Alva J. Fisher invented the integrated circuit.,0
Wilhelm Conrad Röntgen lived in U.S.,0
Galileo Galilei invented the assembly line production.,0
Alfred Nobel invented the Band-Aid.,0
Guglielmo Marconi lived in Italy.,1
Christian Huygens lived in Netherlands.,1
John Walker invented the modern electric refrigerator.,0
Robert Adler lived in U.K.,0
Elisha Gray invented the frequency hopping spread spectrum.,0
Robert Noyce invented the Unimate (first industrial robot).,0
John Walker lived in U.S.,0
Robert Noyce invented the integrated circuit.,1
Elihu Thomson invented the traffic signal.,0
Grace Hopper lived in U.K.,0
James West lived in U.S.,1
Sir Isaac Newton invented the reflecting telescope.,1
Jean-Bernard-Léon Foucault invented the Foucault pendulum.,1
Auguste and Louis Lumière invented the canning process.,0
Charles Townes lived in Russia.,0
Charles Townes invented the theremin.,0
Sir Sandford Fleming invented the standard time zones.,1
Frederick G. Creed invented the AGA lighthouse.,0
Sir Humphry Davy invented the safety lamp.,1
Sir Frank Whittle lived in U.K.,1
Alexander Fleming invented the airship (non-rigid).,0
John Ambrose Fleming lived in U.K.,1
Charles Macintosh invented the transistor.,0
Heinrich Göbel invented the Hall effect.,0
Edwin Herbert Hall invented the airplane.,0
Gottlieb Daimler lived in Germany.,1
Frederick McKinley Jones lived in Japan.,0
William Sturgeon lived in Germany.,0
John Gorrie invented the mechanical refrigeration (ice-making machine).,1
Igor Tamm lived in U.S.,0
Eli Whitney invented the electric wheelchair.,0
Joseph Glidden invented the jet engine.,0
Thomas Edison invented the trackball.,0
Joseph Glidden invented the barbed wire.,1
Frank Julian Sprague lived in U.S.,1
George Antheil lived in U.S.,1
Charles Fritts invented the solar cell.,1
William Kelly lived in France.,0
Alva J. Fisher lived in U.S.,1
John Ericsson invented the U.S.,1
Richard Leach Maddox invented the dry collodion photographic plate.,1
Louis Pasteur lived in U.S.,0
Thomas Edison lived in U.S.,1
Joseph Glidden lived in Germany.,0
Tim Berners-Lee lived in Germany.,0
Carl Wilhelm Siemens lived in Germany.,1
Ralph Benjamin lived in U.K.,1
Hans Goldschmidt invented the thermite process.,1
Mary Anderson invented the cotton gin.,0
Sir Sandford Fleming invented the integrated circuit.,0
Karl Landsteiner invented the waterproof fabric.,0
Eugene Polley invented the wireless remote control.,1
George Devol lived in U.S.,1
Joseph Henry invented the linoleum.,0
Igor Tamm lived in Russia.,1
Philipp Reis lived in Germany.,1
Narinder Singh Kapany invented the programming language (theoretical).,0
Edmund Cartwright lived in U.K.,1
George Washington Carver invented the Gatling gun.,0
Frank Julian Sprague invented the electric traffic light.,0
Heinrich Göbel lived in U.S.,0
Yoshua Bengio lived in U.S.,0
John Kay lived in U.S.,0
Marie Curie lived in Poland/France.,1
Mary Phelps Jacob lived in U.S.,1
Valdemar Poulsen lived in Scotland.,0
John Harrison lived in U.K.,1
Levi Strauss invented the blue jeans.,1
Gottlieb Daimler invented the internal combustion engine.,1
John Ericsson lived in U.S.,0
Luther Simjian invented the Band-Aid.,0
Blaise Pascal invented the mechanical calculator.,1
James Starley lived in Sweden/U.S.,0
Yvonne Brill invented the U.S.,1
Charles Tellier lived in U.K.,0
James Murray Spangler invented the portable vacuum cleaner.,1
Hedy Lamarr invented the frequency hopping spread spectrum.,1
Candace Pert invented the electric wheelchair.,0
Fritz Pfleumer lived in Canada/U.S.,0
Samuel Morse invented the Morse code.,1
Clyde Tombaugh lived in U.S.,1
Ferdinand von Zeppelin invented the rigid airship (Zeppelin).,1
Joseph Aspdin invented the Portland cement.,1
Lloyd Groff Copeman invented the electric stove.,1
William Kelly invented the Bessemer process for steelmaking.,1
Sir Frank Whittle invented the jet engine.,1
August Horch invented the Audi automobile.,1
Nicolas Appert lived in Russia.,0
Thomas Savery invented the early steam engine.,1
Felix Hoffmann lived in U.S.,0
Joseph Henry lived in U.S.,1
Rudolf Kálmán invented the U.S.,1
Alexander Graham Bell lived in Germany.,0
Robert Noyce lived in U.S.,1
Joseph Engelberger invented the discovery of Pluto.,0
David Edward Hughes invented the piano roll (used in player pianos).,0
John T. Parsons invented the numerical control (CNC).,1
Édouard-Léon Scott de Martinville invented the Phonautograph.,1
Charles Francis Richter lived in U.S.,1
Hans Oersted lived in Denmark.,1
Yoshiro Nakamatsu invented the pop-up toaster.,0
James Hargreaves invented the U.S.,0
John Ericsson invented the celluloid.,0
Nils Bohlin lived in Sweden.,1
Edwin Herbert Hall invented the Hall effect.,1
Alec Jeffreys lived in U.K.,1
John T. Parsons lived in U.S.,1
Otis Boykin lived in U.S.,1
Alec Jeffreys invented the phonograph (independent inventor).,0
Kwolek lived in Stephanie.,1
Charles Strite lived in U.S.,1
Alessandro Volta lived in Italy.,1
Ruth Handler lived in U.S.,1
Clyde Tombaugh invented the electret microphone.,0
Georges Claude lived in France.,1
Hedy Lamarr lived in U.S.,0
Evangelista Torricelli invented the wireless remote control.,0
Benjamin Rubin invented the vaccine jet injector.,1
Alfred Nobel lived in Sweden.,1
Eli Whitney invented the cotton gin.,1
John Ambrose Fleming lived in U.S.,0
John Logie Baird invented the mechanical television.,1
Charles Strite lived in Italy.,0
John Atanasoff invented the first electronic digital computer (prototype).,1
Josephine Cochrane invented the Audi automobile.,0
John Ericsson lived in Sweden.,1
Elisha Otis lived in U.K.,0
Gordon Gould lived in Canada.,0
Christopher Cockerell lived in U.K.,1
Sir Charles Parsons lived in U.K.,1
Sir Charles Parsons invented the lightning rod.,0
Henry Ford lived in U.S.,1
Chester Carlson invented the xerography.,1
Rudolf Kálmán lived in U.K.,0
Reginald Fessenden invented the amplitude modulation (AM) radio.,1
Rudolf Diesel invented the microphone (carbon).,0
Joseph Swan lived in U.K.,1
Johannes Gutenberg invented the bagless vacuum cleaner.,0
Richard Gatling lived in U.S.,1
Leonardo da Vinci invented the discovery of radium and polonium.,0
Bette Nesmith Graham invented the agricultural innovations.,0
Marvin Camras invented the airship (non-rigid).,0
Ferdinand von Zeppelin lived in Germany.,1
Ferdinand von Zeppelin invented the piezoelectricity.,0
Karl Benz lived in Germany.,1
Guglielmo Marconi invented the Christmas card.,0
Édouard-Léon Scott de Martinville invented the hovercraft.,0
Robert Chesebrough invented the Vaseline.,1
James Starley lived in U.K.,1
August Horch lived in Germany.,1
Charles Macintosh lived in U.S.,0
James Watt invented the electric traffic light.,0
Heinrich Göbel lived in Germany.,1
Henri Giffard invented the airship (non-rigid).,1
Edwin Link invented the analytical engine (mechanical computer).,0
Arthur Pitney invented the postage meter.,1
Marie Curie lived in Hungary.,0
Hans Geiger invented the frequency hopping spread spectrum.,0
William Sturgeon invented the electromagnet.,1
Auguste and Louis Lumière invented the cinematograph.,1
Igor Sikorsky lived in Ukraine/U.S.,1
Alec Jeffreys invented the DNA fingerprinting.,1
Edwin Link invented the flight simulator (Link Trainer).,1
Gustaf Dalén lived in Germany.,0
László Bíró invented the ballpoint pen.,1
Kwolek invented the modern brassiere.,0
Eli Whitney lived in U.S.,1
Hippolyte Mège-Mouriès lived in France.,1
Ada Lovelace lived in U.S.,0
Spencer Silver lived in U.S.,1
Karl Landsteiner invented the blood types.,1
Elihu Thomson invented the arc welding.,1
Leon Theremin lived in Germany.,0
Alan Turing invented the Turing machine (theoretical).,1
James Dyson invented the bagless vacuum cleaner.,1
Emile Berliner lived in Germany/U.S.,1
Charles Wheatstone lived in U.K.,1
Biruté Galdikas lived in France.,0
Samuel Fox lived in France.,0
Joseph Bramah invented the hydraulic press.,1
Grace Hopper lived in U.S.,1
Gustaf Dalén invented the thermite process.,0
Biruté Galdikas lived in Canada.,1
Ralph H. Baer invented the canning process.,0
Daisuke Inoue lived in Japan.,1
Albert Ghiorso lived in U.K.,0
Lloyd Groff Copeman invented the electromagnetic waves discovery.,0
Karl Landsteiner lived in Austria.,1
Wallace Carothers invented the magnetic wire recorder.,0
Georges Claude invented the neon lighting.,1
Joseph Henry lived in U.K.,0
Galileo Galilei lived in U.S.,0
Linus Torvalds lived in Finland.,1
Ami Argand lived in U.S.,0
André-Jacques Garnerin lived in Netherlands.,0
Levi Strauss lived in U.S.,1
Alessandro Volta lived in U.S.,0
Thomas Savery invented the bagless vacuum cleaner.,0
John Harrison invented the steel ribbed umbrella.,0
Richard Leach Maddox invented the blood types.,0
Edouard Benedictus lived in France.,1
David Schwarz invented the rigid airship.,1
John Atanasoff invented the revolver.,0
Heinrich Hertz invented the internal combustion engine.,0
R. Buckminster Fuller invented the mechanical television.,0
Arthur Fry lived in France.,0
Charles Townes lived in U.S.,1
Ralph H. Baer lived in France.,0
Reginald Fessenden lived in Canada/U.S.,1
Galileo Galilei invented the improved telescope.,1
Antoine Lavoisier lived in Austria.,0
Joseph Engelberger lived in U.S.,1
Joseph-Armand Bombardier invented the snowmobile.,1
Karl Landsteiner lived in U.K.,0
Reginald Fessenden lived in U.K.,0
John Shepherd-Barron lived in U.S.,0
Levi Strauss invented the laser.,0
James Clerk Maxwell invented the electromagnetic field theory.,1
Philo Farnsworth invented the electroencephalography (EEG).,0
Frank Bunker Gilbreth lived in Russia.,0
Daisuke Inoue lived in U.S.,0
Elisha Otis invented the safety elevator.,1
Fridtjof Nansen invented the modern polar exploration.,1
James Dyson invented the U.S.,0
Sir Humphry Davy invented the light bulb.,0
John Kay lived in U.K.,1
Richard Gatling invented the Gatling gun.,1
Tim Berners-Lee lived in U.K.,1
Charles Francis Jenkins lived in U.S.,1
Hans Lippershey invented the refracting telescope.,1
Jean-Bernard-Léon Foucault lived in U.S.,0
Philo Taylor Farnsworth invented the electron scanning tube (Image dissector).,1
Grace Hopper invented the programming language (theoretical).,0
Wilhelm Conrad Röntgen lived in Germany.,1
Alexander Fleming invented the penicillin discovery.,1
Christian Huygens lived in Scotland.,0
Ada Lovelace lived in U.K.,1
Philo Taylor Farnsworth lived in U.S.,1
Sergey Brin and Larry Page lived in U.S.,1
Gideon Sundback invented the electron scanning tube (Image dissector).,0
Hans Geiger lived in Germany.,1
Evangelista Torricelli lived in Italy.,1
Herbert Akroyd Stuart lived in Russia.,0
Ada Lovelace invented the modern brassiere.,0
Charles Goodyear invented the dry collodion photographic plate.,0
Yoshua Bengio invented the mechanical refrigeration (ice-making machine).,0
Daniel Fahrenheit lived in U.S.,0
Shinya Yamanaka lived in Japan.,1
Charles Tellier invented the liquefied gas refrigeration.,1
Giovanni Caselli lived in Italy.,1
Leon Theremin invented the Geiger counter.,0
